asn index file, asn id, asn name, ip
428,as16591,google fiber inc.,23.228.128.196
428,as16591,google fiber inc.,23.228.128.201
428,as16591,google fiber inc.,23.228.128.200
20,as2824,deutsche bank ag,160.83.69.53
21,as15769,deutsche bank ag,160.83.59.119
21,as15769,deutsche bank ag,160.83.59.111
12,as8373,deutsche bank ag,160.83.7.42
71,as396982,google llc,34.168.222.209
