asn index file, asn id, asn name, ip
19,as9534,binariang berhad,23.76.108.5
3834,as55836,reliance jio infocomm limited,184.84.221.11
49,as9299,philippine long distance telephone company,23.202.148.12
3780,as4788,tm technology services sdn. bhd.,23.220.240.16
514,as2914,ntt america, inc.,117.103.180.216
3800,as18206,tm technology services sdn. bhd.,202.162.17.68
